date,state,p,confirmed,city_ibge_code,confirmed_per_100k_inhabitants
2020-04-26,MG,c,3,3111200,
2020-04-26,MG,c,1,3111507,
2020-04-26,MG,c,1,3111606,
2020-04-26,MG,c,1,3112802,
2020-04-26,MG,c,1,3113305,
2020-04-26,MG,c,1,3113701,
2020-04-26,MG,c,1,3113909,
2020-04-26,MG,c,2,3114204,
2020-04-26,MG,c,3,3115300,
2020-04-26,MG,c,1,3115805,
2020-04-26,MG,c,2,3117306,
2020-04-26,MG,c,12,3118304,
2020-04-26,MG,c,46,3118601,
2020-04-26,MG,c,7,3119302,
2020-04-26,MG,c,6,3119401,
2020-04-26,MG,c,0,3120904,
2020-04-26,MG,c,1,3121902,
2020-04-26,MG,c,58,3122306,
2020-04-26,MG,c,1,3124104,
2020-04-26,MG,c,5,3124203,
2020-04-26,MG,c,1,3124302,
2020-04-26,MG,c,1,3124401,
2020-04-26,MG,c,1,3124500,
2020-04-26,MG,c,21,3125101,
2020-04-26,MG,c,1,3125309,
2020-04-26,MG,c,5,3125903,
2020-04-26,MG,c,1,3126109,
2020-04-26,MG,c,2,3127107,
2020-04-26,MG,c,2,3127388,
2020-04-26,MG,c,14,3127701,
2020-04-26,MG,c,1,3128303,
2020-04-26,MG,c,3,3128709,
2020-04-26,MG,c,1,3128907,
2020-04-26,MG,c,7,3129806,
2020-04-26,MG,c,1,3130556,
2020-04-26,MG,c,18,,
2020-04-26,MG,c,2,3131158,
2020-04-26,MG,c,14,3131307,
2020-04-26,MG,c,1,3131406,
2020-04-26,MG,c,1,3131505,
2020-04-26,MG,c,8,3131703,
2020-04-26,MG,c,2,3132206,
2020-04-26,MG,c,9,3132404,
2020-04-26,MG,c,1,3133006,
2020-04-26,MG,c,4,3133105,
2020-04-26,MG,c,1,3133303,
2020-04-26,MG,c,7,3133501,
2020-04-26,MG,c,1,3133600,
2020-04-26,MG,c,2,3134202,
2020-04-26,MG,c,2,3134608,
2020-04-26,MG,c,3,3135100,
2020-04-26,MG,c,1,3135407,
2020-04-26,MG,c,4,3136207,
2020-04-26,MG,c,121,3136702,
2020-04-26,MG,c,16,3137205,
2020-04-26,MG,c,3,3137601,
2020-04-26,MG,c,7,3138203,
2020-04-26,MG,c,1,3138401,
2020-04-26,MG,c,2,3139003,
2020-04-26,MG,c,3,3139409,
2020-04-26,MG,c,15,3140001,
2020-04-26,MG,c,2,3140159,
2020-04-26,MG,c,1,3140209,
2020-04-26,MG,c,4,3140308,
2020-04-26,MG,c,1,3140506,
2020-04-26,MG,c,0,3140803,
2020-04-26,MG,c,1,3141108,
2020-04-26,MG,c,1,3142908,
2020-04-26,MG,c,5,3143104,
2020-04-26,MG,c,6,3143302,
2020-04-26,MG,c,1,3143609,
2020-04-26,MG,c,3,3143807,
2020-04-26,MG,c,7,3143906,
2020-04-26,MG,c,1,3144102,
2020-04-26,MG,c,2,3144300,
2020-04-26,MG,c,1,3144508,
2020-04-26,MG,c,52,3144805,
2020-04-26,MG,c,1,3145208,
2020-04-26,MG,c,1,3145307,
